House_ID,SquareFeet,Bedrooms,Bathrooms,Neighborhood,Price
H_0077,2399.4259355460317,2,1.5,Rural,369300.3858018926
H_0078,2474.259320567666,4,2.5,Rural,371205.477654826
H_0079,1615.8818223224614,2,1.5,Suburbs,269675.53471724986
H_0080,2492.8861009942593,5,3.0,Downtown,472348.243907968
H_0081,2230.0331284143854,3,2.0,Downtown,409324.6647423453
H_0082,2747.423651191677,1,1.0,Downtown,445978.4440938988
H_0083,1630.3845672002003,4,3.0,Downtown,346945.72802669747
H_0084,1658.6293025056016,3,2.0,Suburbs,306484.9488967428
H_0085,989.335148102664,3,2.0,Rural,175427.692253002
H_0086,2028.477568227185,2,1.5,Suburbs,333251.4641610555
H_0087,1950.1005022474874,1,1.0,Downtown,371927.914562555
H_0088,1574.8025313857333,3,2.0,Downtown,328619.7682191719
H_0089,1767.2597074047767,3,2.5,Downtown,368986.9161582609
H_0090,1275.511595929954,3,2.0,Downtown,306448.7808451422
H_0091,2279.3779811326744,4,3.0,Downtown,467318.6609692172
H_0092,1604.1202101886759,3,2.0,Downtown,329921.96674996684
H_0093,3037.6196062483805,2,1.5,Suburbs,456440.4270018924
H_0094,1729.7594797155868,3,2.0,Rural,248180.97118922212
H_0095,1496.152463580676,5,3.5,Suburbs,297100.41946862894
H_0096,1635.0747525060553,4,3.0,Suburbs,311509.8628646803
H_0097,1235.2156093822996,3,2.0,Rural,234123.27266222268
H_0098,1992.908756281177,2,1.5,Downtown,350760.0502789782
H_0099,1632.0401200883512,3,2.0,Downtown,352636.1740217188
H_0100,2252.501116159095,4,2.5,Rural,349351.78209184704
H_0101,1690.101001930233,4,3.0,Downtown,339989.2054307433
H_0102,2353.776844674259,3,2.0,Suburbs,380177.02405014297
H_0103,2102.9822997268166,4,2.5,Suburbs,387995.2944618911
H_0104,1811.4387106873376,4,3.0,Suburbs,310566.30538380623
H_0105,2432.0930349403284,2,1.5,Suburbs,370202.09846228664
H_0106,2180.9173844148836,3,2.0,Suburbs,341910.50136019255
H_0107,2978.4851306652904,2,1.5,Downtown,480389.4717011846
H_0108,1636.2179020087183,2,1.5,Downtown,347828.70039391576
H_0109,1830.6464421833844,4,3.0,Suburbs,325604.70592963544
H_0110,2427.483604404372,3,2.0,Suburbs,407321.51859125454
H_0111,1182.5848752659551,3,2.0,Downtown,303545.9957508884
H_0112,2326.777425293025,2,1.5,Rural,323772.22233289626
H_0113,1975.7211030725882,3,2.0,Suburbs,324547.5404596171
H_0114,1444.7156978211008,2,1.0,Rural,209925.90163631455
H_0115,1254.7841365795514,2,1.0,Suburbs,216610.8784766451
H_0116,1531.0042107478864,3,2.0,Suburbs,284018.61620736396
H_0117,886.0721710697712,2,1.0,Suburbs,186031.8808001481
H_0118,1604.1842225233986,3,2.5,Rural,248148.02517886972
H_0119,2049.0225333370327,1,1.0,Downtown,337651.2601685947
H_0120,1609.4797436124688,2,1.5,Suburbs,274730.25075082947
H_0121,2355.3250805735233,2,1.5,Downtown,405595.7269829028
H_0122,2463.979041090115,3,2.0,Suburbs,387748.0194970824
H_0123,2310.25779305031,3,2.0,Suburbs,376800.8625965084
H_0124,1892.256364105746,3,2.0,Rural,254543.7207718715
H_0125,870.1282910054124,3,2.0,Rural,146416.2758650126
H_0126,1518.5210031869576,4,2.5,Downtown,376669.16653451277
H_0127,1743.1845892902452,1,1.0,Downtown,316582.9931143352
H_0128,1442.4529401980758,3,2.5,Suburbs,230332.85628780615
H_0129,1744.1978098053717,4,3.0,Suburbs,297554.63448390085
H_0130,2444.0269874773517,3,2.0,Downtown,475550.2490269037
H_0131,1141.6893881938727,3,2.0,Suburbs,221457.7646792171
H_0132,2524.6768224476104,5,3.5,Suburbs,445346.4473671706
H_0133,2153.890568701655,4,3.0,Rural,340283.6382192567
H_0134,1907.2867233110783,2,1.5,Downtown,351599.9012348449
H_0135,1514.5533777036944,3,2.0,Suburbs,288378.0873858897
H_0136,1450.4198618034297,3,2.5,Suburbs,233285.03328606725
H_0137,1149.512914164504,3,2.0,Suburbs,211324.56040189145
H_0138,2486.7061921257546,3,2.0,Suburbs,386019.4778729971
H_0139,2415.0446240296164,3,2.0,Suburbs,364661.78890950984
H_0140,1237.4861485666872,3,2.0,Downtown,284786.6710004429
H_0141,1578.9488020375195,3,2.0,Rural,267279.5519297448
H_0142,1973.2579076927634,4,2.5,Suburbs,348772.99974317127
H_0143,1680.1963447311168,3,2.5,Downtown,366582.8169003778
H_0144,1032.530097187273,1,1.0,Suburbs,191834.24092774894
H_0145,1536.8908957777246,3,2.0,Downtown,344313.8199657448
H_0146,2580.4137192080075,2,1.5,Downtown,438688.5918030334
H_0147,1564.0085638342223,3,2.0,Rural,243826.8954097099
H_0148,1734.6130653191171,3,2.0,Suburbs,325362.0886714224
H_0149,1341.9290303858477,2,1.5,Suburbs,230391.22932726072
H_0150,2035.1051941134992,3,2.0,Downtown,394370.2956404844
H_0151,1846.0607196098335,2,1.5,Suburbs,313060.7468015471
H_0152,1503.1921033772085,1,1.0,Downtown,308005.4429723279
H_0153,1278.13784167703,3,2.0,Suburbs,230894.9009479433
H_0154,2361.81734960435,3,2.0,Rural,364197.338039946
H_0155,1157.7826373435678,5,3.5,Suburbs,249249.58778961908
H_0156,2001.526278235822,3,2.0,Suburbs,347343.70821854856
H_0157,938.4483021153708,3,2.0,Suburbs,215641.398319581
H_0158,2082.884673204953,3,2.0,Rural,327225.62071129284
H_0159,2188.1195549040244,1,1.0,Suburbs,309499.2937719975
H_0160,2237.9134846559655,5,3.5,Suburbs,402368.5642997317
H_0161,1735.5166125720527,3,2.5,Suburbs,319545.8986547689
H_0162,2433.6014422254784,4,3.0,Downtown,454933.1098144835
H_0163,2723.1166779984273,2,1.5,Downtown,444494.75116574264
H_0164,1671.3507455816148,3,2.0,Suburbs,309358.3036847136
H_0165,1619.597987948029,3,2.0,Downtown,341060.55297527503
H_0166,1859.6709041379743,4,2.5,Downtown,358043.84453914146
H_0167,1608.9279416423174,1,1.0,Rural,214628.51106232818
H_0168,1550.4519215959517,3,2.0,Suburbs,273159.8126231096
H_0169,1585.3045839033962,5,3.0,Suburbs,337823.8243830024
H_0170,2486.302403202498,3,2.5,Suburbs,413309.034678893
H_0171,2108.7527980141726,3,2.5,Suburbs,367954.8637275509
H_0172,1607.6215490967636,2,1.0,Downtown,326399.99005686963
H_0173,817.9499897110859,5,3.5,Suburbs,236857.9206420183
H_0174,1182.214202557413,1,1.0,Downtown,239754.0131766012
H_0175,2001.371633040751,4,3.0,Suburbs,350266.64244078164
H_0176,951.377623444473,4,2.5,Suburbs,230939.8053380807
H_0177,1917.1974109807823,2,1.5,Suburbs,293940.2034580571
H_0178,1373.7745100539898,3,2.5,Suburbs,263001.62255110685
H_0179,1836.7223098322693,1,1.0,Suburbs,310706.2649669375
H_0180,1825.5425205336574,2,1.5,Downtown,357446.64923244825
H_0181,1848.2359735562845,4,3.0,Suburbs,345551.49492671597
H_0182,1642.2312611685918,4,2.5,Downtown,320281.64748874714
H_0183,1629.085749756907,3,2.0,Downtown,363859.82270812267
H_0184,1511.6838324254245,3,2.0,Downtown,323610.2246747684
H_0185,1993.556926896756,2,1.5,Suburbs,307696.53651656007
H_0186,2122.077069912379,1,1.0,Suburbs,317029.68061233655
H_0187,1312.4109909855495,2,1.0,Downtown,265213.9865440525
H_0188,1779.3486110830922,2,1.5,Suburbs,309240.9642562532
H_0189,1878.632829395095,3,2.5,Suburbs,315405.00368580455
H_0190,1873.5084538492167,3,2.0,Downtown,358741.552281515
H_0191,1866.707847838607,3,2.5,Rural,286484.1157553074
H_0192,1639.1860758619102,2,1.5,Suburbs,293472.56392207136
H_0193,1911.6121701850157,3,2.5,Suburbs,326365.3364339202
H_0194,2047.211484393448,4,3.0,Suburbs,334519.9715842118
H_0195,1856.4146623290258,2,1.5,Downtown,359744.4719255994
H_0196,2002.3759346134896,5,3.5,Suburbs,351350.41283877933
H_0197,2196.141364415003,4,3.0,Suburbs,341195.44825917814
H_0198,1059.6238568418928,2,1.5,Rural,199594.9710117848
H_0199,2177.385536746147,4,3.0,Downtown,428144.712531953
H_0000,1754.8032872527654,2,1.5,Rural,298731.41289985477
